radius_m,density_kgm3,vp_ms,vs_ms
0,13088.5,11262.2,3667.8
12858,13088.46,11262.17,3667.78
25716,13088.36,11262.1,3667.73
38574,13088.18,11261.97,3667.64
51432,13087.92,11261.79,3667.51
64289,13087.6,11261.55,3667.35
77147,13087.2,11261.27,3667.15
90005,13086.74,11260.93,3666.91
102863,13086.2,11260.54,3666.64
115721,13085.58,11260.1,3666.33
128579,13084.9,11259.61,3665.99
141437,13084.14,11259.06,3665.61
154295,13083.32,11258.47,3665.19
167153,13082.42,11257.82,3664.74
180011,13081.44,11257.12,3664.25
192868,13080.4,11256.37,3663.72
205726,13079.28,11255.56,3663.16
218584,13078.1,11254.71,3662.56
231442,13076.84,11253.8,3661.93
244300,13075.5,11252.84,3661.26
257158,13074.1,11251.83,3660.55
270016,13072.62,11250.77,3659.81
282874,13071.08,11249.65,3659.03
295732,13069.46,11248.49,3658.22
308589,13067.76,11247.27,3657.37
321447,13066,11246,3656.48
334305,13064.17,11244.68,3655.55
347163,13062.26,11243.3,3654.59
360021,13060.28,11241.88,3653.6
372879,13058.23,11240.4,3652.57
385737,13056.1,11238.87,3651.5
398595,13053.91,11237.29,3650.39
411453,13051.64,11235.66,3649.25
424311,13049.3,11233.97,3648.07
437168,13046.89,11232.24,3646.86
450026,13044.4,11230.45,3645.61
462884,13041.85,11228.61,3644.32
475742,13039.22,11226.71,3643
488600,13036.52,11224.77,3641.64
501458,13033.75,11222.77,3640.25
514316,13030.9,11220.73,3638.82
527174,13027.99,11218.63,3637.35
540032,13025,11216.48,3635.84
552889,13021.94,11214.27,3634.31
565747,13018.81,11212.02,3632.73
578605,13015.6,11209.71,3631.12
591463,13012.33,11207.35,3629.47
604321,13008.98,11204.94,3627.78
617179,13005.56,11202.48,3626.06
630037,13002.07,11199.96,3624.31
642895,12998.5,11197.4,3622.51
655753,12994.87,11194.78,3620.68
668611,12991.16,11192.11,3618.82
681468,12987.38,11189.39,3616.91
694326,12983.53,11186.61,3614.98
707184,12979.6,11183.79,3613
720042,12975.61,11180.91,3610.99
732900,12971.54,11177.98,3608.94
745758,12967.4,11175,3606.86
758616,12963.19,11171.97,3604.74
771474,12958.91,11168.88,3602.59
784332,12954.55,11165.75,3600.39
797189,12950.12,11162.56,3598.17
810047,12945.62,11159.32,3595.9
822905,12941.05,11156.03,3593.6
835763,12936.41,11152.68,3591.26
848621,12931.69,11149.29,3588.89
861479,12926.9,11145.84,3586.48
874337,12922.04,11142.34,3584.04
887195,12917.11,11138.79,3581.55
900053,12912.11,11135.19,3579.04
912911,12907.03,11131.53,3576.48
925768,12901.88,11127.82,3573.89
938626,12896.66,11124.07,3571.26
951484,12891.37,11120.26,3568.6
964342,12886.01,11116.39,3565.9
977200,12880.57,11112.48,3563.17
990058,12875.07,11108.51,3560.4
1002916,12869.49,11104.5,3557.59
1015774,12863.83,11100.43,3554.74
1028632,12858.11,11096.3,3551.86
1041489,12852.31,11092.13,3548.95
1054347,12846.45,11087.91,3545.99
1067205,12840.51,11083.63,3543.01
1080063,12834.5,11079.3,3539.98
1092921,12828.41,11074.92,3536.92
1105779,12822.26,11070.49,3533.82
1118637,12816.03,11066,3530.69
1131495,12809.73,11061.47,3527.52
1144353,12803.36,11056.88,3524.31
1157211,12796.91,11052.24,3521.07
1170068,12790.4,11047.55,3517.79
1182926,12783.81,11042.8,3514.47
1195784,12777.15,11038.01,3511.12
1208642,12770.42,11033.16,3507.74
1221500,12763.61,11028.26,3504.31
1221500,12166.33,10355.72,0
1234332,12159.72,10348.27,0
1247165,12153.05,10340.8,0
1259997,12146.32,10333.3,0
1272830,12139.54,10325.77,0
1285662,12132.7,10318.22,0
1298494,12125.8,10310.64,0
1311327,12118.85,10303.03,0
1324159,12111.84,10295.39,0
1336991,12104.78,10287.73,0
1349824,12097.65,10280.03,0
1362656,12090.47,10272.3,0
1375489,12083.23,10264.54,0
1388321,12075.93,10256.75,0
1401153,12068.57,10248.93,0
1413986,12061.15,10241.07,0
1426818,12053.67,10233.17,0
1439651,12046.14,10225.24,0
1452483,12038.54,10217.28,0
1465315,12030.88,10209.28,0
1478148,12023.16,10201.24,0
1490980,12015.38,10193.17,0
1503812,12007.54,10185.05,0
1516645,11999.64,10176.9,0
1529477,11991.68,10168.71,0
1542310,11983.66,10160.48,0
1555142,11975.57,10152.2,0
1567974,11967.42,10143.89,0
1580807,11959.21,10135.53,0
1593639,11950.94,10127.13,0
1606472,11942.6,10118.68,0
1619304,11934.2,10110.2,0
1632136,11925.73,10101.66,0
1644969,11917.2,10093.08,0
1657801,11908.61,10084.46,0
1670634,11899.95,10075.78,0
1683466,11891.23,10067.06,0
1696298,11882.44,10058.3,0
