time,eccentricity,obliquity,perihelion,insolation,global_insolation
-20000,0.028372605,0.413421566,3.641942351,511.3726935,342.0877188
-19999,0.027001745,0.412170927,3.927209561,515.4491229,342.0747251
-19998,0.02569066,0.41071571,4.214006876,517.2356782,342.0629011
-19997,0.024361431,0.4090942,4.498754734,516.5616697,342.0515153
-19996,0.022901715,0.407352339,4.78375811,513.5169236,342.0397097
-19995,0.021549344,0.405546495,5.065392707,508.7477423,342.029424
-19994,0.020108435,0.403725284,5.346764737,502.6001431,342.0191546
-19993,0.018652275,0.401941891,5.625883994,495.7841206,342.009499
-19992,0.017222572,0.400246805,5.900687324,488.9670583,342.0007254
-19991,0.015717006,0.398682141,6.16864329,482.6844368,341.9922428
-19990,0.014316557,0.397288317,0.154905102,477.2477636,341.9850491
-19989,0.012815538,0.396101673,0.407086141,473.1684868,341.9780841
-19988,0.011416663,0.395150945,0.651815442,470.3370857,341.9722871
-19987,0.010078188,0.394462127,0.881686509,468.7541229,341.9673672
-19986,0.008749321,0.394057628,1.083507706,468.3434551,341.963089
-19985,0.007594636,0.393948334,1.255873238,468.7016041,341.959862
-19984,0.006683578,0.394143541,1.382103948,469.5417845,341.9576377
-19983,0.005941637,0.394646028,1.457121532,470.7354339,341.9560361
-19982,0.005677909,0.39544135,1.496272664,471.8630173,341.9555121
-19981,0.00588723,0.396514663,1.524368638,472.8679057,341.9559261
-19980,0.006401104,0.3978342,1.593705148,473.8630469,341.9570058
-19979,0.007319576,0.399359817,1.703391227,474.7637763,341.9591606
-19978,0.008440791,0.401045563,1.866328864,475.8727844,341.9621821
-19977,0.009619821,0.402843846,2.0603283,477.4902448,341.9658233
-19976,0.010997376,0.404700998,2.284600126,479.7418797,341.97068
-19975,0.012350383,0.406570491,2.517776355,482.902757,341.9760821
-19974,0.013785126,0.408405787,2.774075912,487.1721212,341.982495
-19973,0.015187876,0.410163712,3.032484485,492.3994283,341.9894459
-19972,0.016656028,0.411812895,3.29699442,498.4653914,341.9974423
-19971,0.018100592,0.413323095,3.573429397,505.1875717,342.0060306
-19970,0.019507188,0.414665519,3.845217219,511.8206442,342.0150798
-19969,0.020907576,0.415820939,4.125009973,518.0224362,342.0247623
