depth_1,depth_2,age,oxygen,carbon
0.1,0.09,3.42,1.98,2.09
0.2,0.19,6.94,1.86,1.93
0.3,0.28,10.61,1.68,1.6
0.4,0.38,14.63,1.48,1.91
0.5,0.47,18.9,0.85,1.92
0.6,0.56,23.28,1.01,1.91
0.7,0.66,27.55,1.01,1.96
0.8,0.75,31.66,1.07,1.95
0.9,0.85,35.69,1.2,1.91
1,0.94,39.79,1.13,1.81
1.1,1.03,44.39,1.19,1.7
1.2,1.13,49.33,1.32,1.65
1.3,1.22,55.31,1.33,1.53
1.4,1.32,61.63,1.03,1.76
1.49,1.4,67.29,1.11,1.83
1.6,1.5,73.11,1.44,2.18
1.7,1.6,77.87,1.53,2.17
1.8,1.69,82.57,1.78,1.87
1.9,1.79,87.23,1.4,2.08
2,1.88,91.92,1.57,1.95
2.1,1.97,96.99,1.63,1.83
2.2,2.07,102.5,1.76,1.4
2.3,2.16,108.24,1.73,1.63
2.4,2.26,113.58,1.72,1.78
2.5,2.35,118.98,1.95,1.44
2.59,2.44,123.64,1.77,1.67
2.7,2.54,129.65,1.65,1.34
2.8,2.63,135.46,0.67,1.32
2.9,2.73,141.23,0.84,1.66
2.99,2.81,146.13,0.93,1.77
3.1,2.91,151.54,0.66,1.59
3.2,3.01,156.3,0.86,1.44
3.3,3.1,161.11,0.98,1.42
3.4,3.2,165.93,1.08,1.46
3.5,3.29,170.74,1.08,1.3
3.6,3.38,175.55,1.02,1.38
3.7,3.48,180.25,0.99,1.35
3.8,3.57,184.94,1.2,1.09
3.9,3.67,189.54,1.34,1.66
4,3.76,194.07,1.58,1.86
4.09,3.85,197.93,1.52,1.57
4.15,3.9,200.28,1.66,1.51
4.6,4.32,219.61,1.25,1.5
4.7,4.42,223.41,1.14,1.65
4.8,4.51,226.92,1.31,1.75
4.9,4.61,230.53,1.3,1.53
5,4.7,234.15,1.68,1.72
5.1,4.79,238.18,1.55,1.64
5.2,4.89,242.85,1.59,1.31
5.3,4.98,248.44,0.98,1.6
5.4,5.08,254.32,1.19,1.79
5.5,5.17,259.68,1.01,1.26
5.59,5.26,264.48,0.87,1.39
5.69,5.35,269.18,0.94,1.55
5.8,5.45,273.96,0.86,1.83
5.9,5.55,278.39,1.17,1.78
5.99,5.63,282.32,1.34,1.77
6.1,5.73,287.15,1.26,1.76
6.2,5.83,291.54,1.35,1.84
6.3,5.92,295.96,1.02,1.71
6.6,6.26,312.35,1.52,1.48
6.7,6.36,317.22,1.23,1.57
6.8,6.45,322.26,1.38,1.57
6.9,6.55,327.17,1.26,1.33
7,6.64,332.14,1.31,1.26
7.1,6.73,336.98,0.92,1.61
7.2,6.83,341.82,0.7,1.71
7.3,6.92,346.92,0.75,1.92
7.4,7.02,352.34,1.08,2.03
7.5,7.11,357.6,1.13,1.9
7.6,7.2,362.96,1.07,2.05
7.7,7.3,367.92,1.25,1.5
7.8,7.39,372.87,1.27,2.07
7.9,7.49,377.72,1.14,1.87
7.99,7.57,382.11,1.46,1.61
8.1,7.67,387.37,1.44,1.78
8.2,7.77,392.17,1.73,1.97
8.3,7.86,396.94,1.92,2.17
8.4,7.96,401.73,1.72,1.61
8.5,8.05,406.57,1.71,1.61
8.6,8.14,411.44,1.77,1.84
8.7,8.24,416.63,1.55,1.72
8.8,8.33,422.19,1.81,2
8.9,8.43,427.59,1.01,1.16
9,8.52,433.33,0.44,1.65
9.1,8.61,438.94,0.48,1.93
9.2,8.71,444.37,0.76,1.86
9.3,8.8,449.52,0.76,1.96
9.4,8.9,454.94,0.78,1.73
9.49,8.98,460.25,0.84,1.72
9.6,9.08,466.63,0.75,1.67
9.7,9.18,472.42,0.93,1.92
9.8,9.27,477.69,0.93,2
9.9,9.37,482.88,1,1.91
10,9.46,487.77,1.35,1.94
10.1,9.55,492.38,1.43,2.17
10.2,9.65,496.75,1.54,2.36
10.3,9.74,500.68,1.72,2.24
10.4,9.84,504.21,1.5,1.98
10.5,9.93,507.74,1.38,1.9
10.6,10.02,511.8,1.29,2.03
10.7,10.12,516.03,1.31,1.99
10.8,10.21,519.94,1.19,1.88
10.9,10.31,524.33,1.44,1.76
10.99,10.39,527.96,1.38,1.74
11.1,10.49,532.5,1.15,1.83
11.2,10.59,537.02,1.24,1.68
11.3,10.68,541.12,0.95,1.61
11.4,10.78,545.78,1,1.62
11.5,10.87,549.78,1,1.85
11.6,10.96,553.34,1.08,1.67
11.7,11.06,556.97,1.02,1.79
11.8,11.15,559.87,1.36,1.79
11.9,11.25,564.15,1.36,1.58
12,11.34,567.03,1.13,1.88
12.09,11.42,569.94,1.54,2
12.2,11.53,573.15,1.56,2.12
12.3,11.62,576.06,1.41,1.69
12.4,11.72,580.33,1.47,2.06
12.6,11.9,588.59,0.91,1.83
12.7,12,593.3,1.43,1.76
12.8,12.09,597.35,1.36,1.75
12.9,12.19,601.64,1.2,1.76
13,12.28,605.3,1.3,2.22
13.1,12.37,609.01,1.47,1.61
13.2,12.47,613.29,1.32,1.71
13.3,12.56,617.18,1.48,1.59
13.4,12.66,621.69,1.54,1.31
13.5,12.75,625.84,0.99,1.06
13.59,12.83,629.66,0.52,1.43
13.7,12.94,635.01,0.63,1.57
13.8,13.03,639.4,0.74,1.64
13.9,13.13,644.24,0.63,1.62
13.99,13.21,647.96,0.68,1.55
14.1,13.31,652.39,0.87,1.57
14.2,13.41,656.41,1.03,1.09
14.3,13.5,659.78,0.83,1.54
14.37,13.57,662.79,0.88,1.37
14.5,13.69,668.04,0.83,1.49
14.6,13.78,672.12,1,1.8
14.7,13.88,677.19,0.8,1.73
14.8,13.97,682.31,1.33,1.7
14.9,14.07,688.23,1.49,1.98
15,14.16,693.39,1.48,1.87
15.09,14.24,698.17,1.31,1.4
15.2,14.35,703.85,1.41,1.55
15.3,14.44,708.13,1.49,1.27
15.4,14.54,712.7,1.21,1.55
15.49,14.62,716.21,1.05,1.44
15.6,14.72,720.94,0.89,1.59
15.7,14.82,726.37,0.72,1.99
15.78,14.89,730.59,1.01,1.52
15.9,15.01,737.75,1,1.54
16,15.1,743.36,1.07,1.62
16.1,15.19,748.74,0.59,1.74
16.18,15.27,753.12,0.78,1.42
